Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Botswana,"3,098",58.65%,"1,817",54.26%,3.56,0:05:06,0.00%,0,$0.00 
South Africa,516,77.13%,398,49.03%,4,0:04:30,0.00%,0,$0.00 
United States,173,91.33%,158,79.19%,1.97,0:01:18,0.00%,0,$0.00 
India,159,62.89%,100,62.89%,2.16,0:02:29,0.00%,0,$0.00 
United Kingdom,144,81.94%,118,71.53%,2.96,0:02:56,0.00%,0,$0.00 
Germany,62,50.00%,31,43.55%,6.06,0:08:23,0.00%,0,$0.00 
(not set),56,85.71%,48,66.07%,2.21,0:03:45,0.00%,0,$0.00 
Zimbabwe,49,77.55%,38,75.51%,1.51,0:01:54,0.00%,0,$0.00 
Netherlands,48,83.33%,40,70.83%,2.02,0:01:47,0.00%,0,$0.00 
Kenya,34,88.24%,30,73.53%,2.88,0:02:08,0.00%,0,$0.00 
Australia,28,67.86%,19,57.14%,2.96,0:04:02,0.00%,0,$0.00 
Malawi,26,57.69%,15,65.38%,1.62,0:02:19,0.00%,0,$0.00 
Poland,26,23.08%,6,96.15%,1.04,0:00:02,0.00%,0,$0.00 
Namibia,25,96.00%,24,68.00%,1.84,0:02:07,0.00%,0,$0.00 
Belgium,21,80.95%,17,52.38%,3.19,0:02:30,0.00%,0,$0.00 
Turkey,20,95.00%,19,65.00%,2.1,0:01:18,0.00%,0,$0.00 
Nigeria,19,94.74%,18,68.42%,2.42,0:02:12,0.00%,0,$0.00 
Russia,19,94.74%,18,57.89%,1.84,0:01:50,0.00%,0,$0.00 
Singapore,19,42.11%,8,21.05%,5.21,0:08:34,0.00%,0,$0.00 
Spain,18,88.89%,16,61.11%,4.17,0:03:11,0.00%,0,$0.00 
Japan,17,94.12%,16,47.06%,3.24,0:08:38,0.00%,0,$0.00 
Philippines,16,62.50%,10,31.25%,4.5,0:08:22,0.00%,0,$0.00 
Switzerland,15,80.00%,12,46.67%,3.87,0:03:10,0.00%,0,$0.00 
France,15,80.00%,12,26.67%,3,0:01:51,0.00%,0,$0.00 
Zambia,15,86.67%,13,60.00%,2.47,0:02:42,0.00%,0,$0.00 
Canada,14,100.00%,14,57.14%,2.86,0:04:47,0.00%,0,$0.00 
United Arab Emirates,13,76.92%,10,53.85%,2.31,0:04:03,0.00%,0,$0.00 
Brazil,13,100.00%,13,76.92%,1.38,0:01:39,0.00%,0,$0.00 
Hong Kong,13,53.85%,7,53.85%,3.85,0:03:08,0.00%,0,$0.00 
Israel,12,75.00%,9,33.33%,4,0:04:56,0.00%,0,$0.00 
Tanzania,11,63.64%,7,63.64%,3,0:04:01,0.00%,0,$0.00 
South Korea,10,90.00%,9,60.00%,2.8,0:01:42,0.00%,0,$0.00 
Mozambique,10,70.00%,7,60.00%,1.7,0:00:30,0.00%,0,$0.00 
Egypt,8,100.00%,8,62.50%,2.12,0:02:51,0.00%,0,$0.00 
Pakistan,8,100.00%,8,75.00%,1.38,0:00:26,0.00%,0,$0.00 
Greece,7,85.71%,6,57.14%,2.14,0:02:21,0.00%,0,$0.00 
Kuwait,7,57.14%,4,57.14%,2.71,0:03:17,0.00%,0,$0.00 
Sri Lanka,7,71.43%,5,71.43%,2.71,0:00:37,0.00%,0,$0.00 
Lesotho,7,100.00%,7,57.14%,1.86,0:01:08,0.00%,0,$0.00 
Malaysia,7,85.71%,6,42.86%,3.57,0:03:54,0.00%,0,$0.00 
Vietnam,7,57.14%,4,14.29%,5.86,0:05:15,0.00%,0,$0.00 
Bangladesh,6,83.33%,5,50.00%,2.33,0:00:36,0.00%,0,$0.00 
China,6,83.33%,5,16.67%,3.17,0:04:09,0.00%,0,$0.00 
Indonesia,6,100.00%,6,50.00%,1.5,0:02:41,0.00%,0,$0.00 
Mauritius,6,83.33%,5,50.00%,2.17,0:02:05,0.00%,0,$0.00 
Portugal,6,66.67%,4,66.67%,1.83,0:04:25,0.00%,0,$0.00 
Laos,5,60.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Swaziland,5,100.00%,5,40.00%,1.8,0:04:04,0.00%,0,$0.00 
Angola,4,75.00%,3,75.00%,1.5,0:06:17,0.00%,0,$0.00 
Denmark,4,100.00%,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Ghana,4,100.00%,4,25.00%,3.75,0:08:24,0.00%,0,$0.00 
Iran,4,75.00%,3,75.00%,1.25,0:00:05,0.00%,0,$0.00 
Iceland,4,100.00%,4,75.00%,1.25,0:00:05,0.00%,0,$0.00 
Cambodia,4,100.00%,4,75.00%,1.5,0:00:18,0.00%,0,$0.00 
Luxembourg,4,100.00%,4,75.00%,1.75,0:00:30,0.00%,0,$0.00 
Montenegro,4,50.00%,2,25.00%,3.25,0:02:28,0.00%,0,$0.00 
New Zealand,4,75.00%,3,50.00%,2.75,0:05:19,0.00%,0,$0.00 
Saudi Arabia,4,50.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Uganda,4,100.00%,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Argentina,3,100.00%,3,33.33%,4,0:12:23,0.00%,0,$0.00 
Bosnia & Herzegovina,3,66.67%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Belarus,3,100.00%,3,33.33%,2.67,0:02:56,0.00%,0,$0.00 
Estonia,3,66.67%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Ethiopia,3,66.67%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Croatia,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Ireland,3,100.00%,3,66.67%,1.33,0:00:37,0.00%,0,$0.00 
Italy,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Kyrgyzstan,3,66.67%,2,66.67%,1.33,0:00:21,0.00%,0,$0.00 
Morocco,3,66.67%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Mongolia,3,66.67%,2,66.67%,4.33,0:05:07,0.00%,0,$0.00 
Mexico,3,100.00%,3,66.67%,4,0:11:03,0.00%,0,$0.00 
Romania,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Rwanda,3,33.33%,1,33.33%,6.67,0:15:46,0.00%,0,$0.00 
Sweden,3,100.00%,3,33.33%,3,0:02:50,0.00%,0,$0.00 
Ukraine,3,100.00%,3,33.33%,3.33,0:01:49,0.00%,0,$0.00 
Austria,2,50.00%,1,50.00%,9,0:05:54,0.00%,0,$0.00 
Bulgaria,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Côte d’Ivoire,2,100.00%,2,50.00%,2,0:02:35,0.00%,0,$0.00 
Colombia,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Hungary,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Libya,2,50.00%,1,0.00%,9,0:16:10,0.00%,0,$0.00 
Moldova,2,100.00%,2,50.00%,1.5,0:00:35,0.00%,0,$0.00 
