# ----------------------------------------
# Toutes les données du site Web
# Location
# 20170101-20170131
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Botswana,292,67.81%,198,58.90%,2.51,00:03:16,0.00%,0,$0.00
South Africa,67,76.12%,51,49.25%,3.46,00:03:05,0.00%,0,$0.00
United Kingdom,17,76.47%,13,47.06%,3.24,00:02:58,0.00%,0,$0.00
United States,15,100.00%,15,66.67%,2.33,00:01:33,0.00%,0,$0.00
India,11,90.91%,10,27.27%,3.18,00:08:50,0.00%,0,$0.00
Germany,7,57.14%,4,85.71%,1.29,00:00:18,0.00%,0,$0.00
Namibia,7,85.71%,6,57.14%,2.57,00:03:22,0.00%,0,$0.00
Zimbabwe,7,85.71%,6,71.43%,1.71,00:03:22,0.00%,0,$0.00
Malawi,6,16.67%,1,66.67%,1.33,00:01:05,0.00%,0,$0.00
Netherlands,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Zambia,4,50.00%,2,75.00%,2.00,00:01:18,0.00%,0,$0.00
China,3,66.67%,2,33.33%,3.67,00:04:55,0.00%,0,$0.00
Denmark,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Egypt,3,100.00%,3,33.33%,2.67,00:03:47,0.00%,0,$0.00
Hong Kong,3,33.33%,1,66.67%,6.00,00:05:48,0.00%,0,$0.00
South Korea,3,66.67%,2,33.33%,3.67,00:02:50,0.00%,0,$0.00
Sri Lanka,3,33.33%,1,66.67%,3.33,00:01:01,0.00%,0,$0.00
Pakistan,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Turkey,3,100.00%,3,66.67%,2.00,00:05:51,0.00%,0,$0.00
Tanzania,3,100.00%,3,66.67%,1.67,00:01:32,0.00%,0,$0.00
(not set),3,66.67%,2,33.33%,5.00,00:12:29,0.00%,0,$0.00
Canada,2,100.00%,2,50.00%,1.50,00:00:23,0.00%,0,$0.00
Spain,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ethiopia,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kenya,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Luxembourg,2,100.00%,2,50.00%,2.50,00:01:00,0.00%,0,$0.00
Libya,2,50.00%,1,0.00%,9.00,00:16:10,0.00%,0,$0.00
Morocco,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nigeria,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Poland,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Russia,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
United Arab Emirates,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Armenia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Argentina,1,100.00%,1,0.00%,2.00,00:12:19,0.00%,0,$0.00
Australia,1,100.00%,1,0.00%,19.00,00:15:11,0.00%,0,$0.00
Bangladesh,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Belgium,1,100.00%,1,0.00%,9.00,00:06:03,0.00%,0,$0.00
Côte d’Ivoire,1,100.00%,1,0.00%,3.00,00:05:10,0.00%,0,$0.00
France,1,0.00%,0,0.00%,6.00,00:03:22,0.00%,0,$0.00
Hungary,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ireland,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kuwait,1,100.00%,1,0.00%,8.00,00:10:46,0.00%,0,$0.00
New Zealand,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Philippines,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Portugal,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Romania,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
,502,72.31%,363,58.76%,2.66,00:03:10,0.00%,0,$0.00
