Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Botswana,2524,55.67%,1405,52.46%,3.77,00:05:33,0.00%,0,$0.00 
South Africa,414,75.36%,312,47.58%,4.28,00:04:55,0.00%,0,$0.00 
United States,141,92.91%,131,78.72%,2.06,00:01:29,0.00%,0,$0.00 
India,133,55.64%,74,63.16%,2.23,00:02:50,0.00%,0,$0.00 
United Kingdom,123,86.99%,107,73.98%,2.85,00:02:38,0.00%,0,$0.00 
Germany,59,49.15%,29,40.68%,6.32,00:08:49,0.00%,0,$0.00 
Netherlands,43,81.40%,35,69.77%,2.02,00:01:57,0.00%,0,$0.00 
(not set),40,87.50%,35,70.00%,1.85,00:03:01,0.00%,0,$0.00 
Zimbabwe,37,81.08%,30,75.68%,1.59,00:02:08,0.00%,0,$0.00 
Kenya,26,84.62%,22,69.23%,3.31,00:02:45,0.00%,0,$0.00 
Poland,26,23.08%,6,96.15%,1.04,00:00:02,0.00%,0,$0.00 
Malawi,22,54.55%,12,59.09%,1.73,00:02:44,0.00%,0,$0.00 
Australia,21,85.71%,18,52.38%,3.29,00:04:13,0.00%,0,$0.00 
Namibia,17,94.12%,16,58.82%,2.18,00:03:05,0.00%,0,$0.00 
Singapore,17,35.29%,6,11.76%,5.71,00:09:35,0.00%,0,$0.00 
Turkey,17,94.12%,16,70.59%,1.94,00:01:20,0.00%,0,$0.00 
Nigeria,15,100.00%,15,66.67%,2.73,00:02:39,0.00%,0,$0.00 
Philippines,15,60.00%,9,33.33%,4.67,00:08:55,0.00%,0,$0.00 
France,14,85.71%,12,28.57%,3,00:01:58,0.00%,0,$0.00 
Zambia,13,84.62%,11,61.54%,2.23,00:01:43,0.00%,0,$0.00 
United Arab Emirates,12,75.00%,9,50.00%,2.42,00:04:23,0.00%,0,$0.00 
Belgium,12,83.33%,10,50.00%,3.17,00:01:38,0.00%,0,$0.00 
Spain,12,100.00%,12,66.67%,5,00:03:23,0.00%,0,$0.00 
Brazil,11,100.00%,11,72.73%,1.45,00:01:57,0.00%,0,$0.00 
Canada,11,100.00%,11,63.64%,2.36,00:03:46,0.00%,0,$0.00 
Switzerland,11,81.82%,9,45.45%,3.45,00:02:51,0.00%,0,$0.00 
Hong Kong,11,45.45%,5,63.64%,4.09,00:03:17,0.00%,0,$0.00 
Russia,11,100.00%,11,72.73%,1.64,00:00:55,0.00%,0,$0.00 
Israel,10,70.00%,7,30.00%,4.5,00:05:42,0.00%,0,$0.00 
Japan,10,90.00%,9,30.00%,3.4,00:12:18,0.00%,0,$0.00 
Tanzania,10,60.00%,6,60.00%,3.2,00:04:25,0.00%,0,$0.00 
Pakistan,8,100.00%,8,75.00%,1.38,00:00:26,0.00%,0,$0.00 
Greece,7,85.71%,6,57.14%,2.14,00:02:21,0.00%,0,$0.00 
Vietnam,7,57.14%,4,14.29%,5.86,00:05:15,0.00%,0,$0.00 
Bangladesh,6,83.33%,5,50.00%,2.33,00:00:36,0.00%,0,$0.00 
Egypt,6,100.00%,6,50.00%,2.5,00:03:48,0.00%,0,$0.00 
Sri Lanka,6,66.67%,4,66.67%,3,00:00:43,0.00%,0,$0.00 
Mauritius,6,83.33%,5,50.00%,2.17,00:02:05,0.00%,0,$0.00 
Malaysia,6,83.33%,5,50.00%,3.17,00:01:24,0.00%,0,$0.00 
Mozambique,6,83.33%,5,50.00%,2,00:00:40,0.00%,0,$0.00 
China,5,80.00%,4,20.00%,3.4,00:04:50,0.00%,0,$0.00 
South Korea,5,80.00%,4,40.00%,3.6,00:03:06,0.00%,0,$0.00 
Laos,5,60.00%,3,100.00%,1,00:00:00,0.00%,0,$0.00 
Swaziland,5,100.00%,5,40.00%,1.8,00:04:04,0.00%,0,$0.00 
Denmark,4,100.00%,4,100.00%,1,00:00:00,0.00%,0,$0.00 
Indonesia,4,100.00%,4,50.00%,1.5,00:00:07,0.00%,0,$0.00 
Iran,4,75.00%,3,75.00%,1.25,00:00:05,0.00%,0,$0.00 
Iceland,4,100.00%,4,75.00%,1.25,00:00:05,0.00%,0,$0.00 
Kuwait,4,75.00%,3,25.00%,4,00:05:45,0.00%,0,$0.00 
Lesotho,4,100.00%,4,50.00%,2.25,00:01:46,0.00%,0,$0.00 
Luxembourg,4,100.00%,4,75.00%,1.75,00:00:30,0.00%,0,$0.00 
Montenegro,4,50.00%,2,25.00%,3.25,00:02:28,0.00%,0,$0.00 
New Zealand,4,75.00%,3,50.00%,2.75,00:05:19,0.00%,0,$0.00 
Argentina,3,100.00%,3,33.33%,4,00:12:23,0.00%,0,$0.00 
Estonia,3,66.67%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Ethiopia,3,66.67%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Ghana,3,100.00%,3,33.33%,3.67,00:03:26,0.00%,0,$0.00 
Croatia,3,100.00%,3,100.00%,1,00:00:00,0.00%,0,$0.00 
Ireland,3,100.00%,3,66.67%,1.33,00:00:37,0.00%,0,$0.00 
Kyrgyzstan,3,66.67%,2,66.67%,1.33,00:00:21,0.00%,0,$0.00 
Morocco,3,66.67%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Mexico,3,100.00%,3,66.67%,4,00:11:03,0.00%,0,$0.00 
Romania,3,100.00%,3,100.00%,1,00:00:00,0.00%,0,$0.00 
Ukraine,3,100.00%,3,33.33%,3.33,00:01:49,0.00%,0,$0.00 
Uganda,3,100.00%,3,100.00%,1,00:00:00,0.00%,0,$0.00 
Bulgaria,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Belarus,2,100.00%,2,0.00%,3.5,00:04:25,0.00%,0,$0.00 
Côte d’Ivoire,2,100.00%,2,50.00%,2,00:02:35,0.00%,0,$0.00 
Colombia,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Hungary,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Libya,2,50.00%,1,0.00%,9,00:16:10,0.00%,0,$0.00 
Mongolia,2,50.00%,1,50.00%,6,00:07:41,0.00%,0,$0.00 
Nepal,2,100.00%,2,0.00%,3.5,00:08:28,0.00%,0,$0.00 
Palestine,2,50.00%,1,50.00%,2.5,00:00:28,0.00%,0,$0.00 
Portugal,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Saudi Arabia,2,50.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Seychelles,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Sudan,2,100.00%,2,50.00%,3.5,00:03:57,0.00%,0,$0.00 
Sweden,2,100.00%,2,0.00%,4,00:04:15,0.00%,0,$0.00 
Thailand,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Afghanistan,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Antigua & Barbuda,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Armenia,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Angola,1,100.00%,1,0.00%,3,00:25:07,0.00%,0,$0.00 
Azerbaijan,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Bosnia & Herzegovina,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Burundi,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Benin,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Cyprus,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Algeria,1,100.00%,1,0.00%,2,00:02:35,0.00%,0,$0.00 
Italy,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Jordan,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Latvia,1,100.00%,1,0.00%,2,00:00:10,0.00%,0,$0.00 
Moldova,1,100.00%,1,0.00%,2,00:01:10,0.00%,0,$0.00 
Macedonia (FYROM),1,100.00%,1,0.00%,5,00:00:44,0.00%,0,$0.00 
Maldives,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Nicaragua,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Norway,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Panama,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Peru,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Paraguay,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Senegal,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Somalia,1,100.00%,1,0.00%,3,00:15:50,0.00%,0,$0.00 
Tajikistan,1,100.00%,1,0.00%,8,00:02:27,0.00%,0,$0.00 
Tunisia,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Trinidad & Tobago,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Taiwan,1,100.00%,1,0.00%,4,00:05:23,0.00%,0,$0.00 
,"4,045",63.81%,"2,581",55.06%,3.52,00:04:48,0.00%,0,$0.00 
